1 -9.824579999999999
2 -9.824579999999999
3 -9.721664000000001
4 -7.174249
5 -7.144703
6 -7.113794
7 -7.040963
8 -6.411609
9 -5.758423
10 -4.735485
11 -4.780371
12 -4.16676
13 -4.320947
14 -3.937771
15 -3.371359
16 -3.491721
17 -3.033564
18 -3.177822
19 -3.150388
20 -3.295218
21 -3.479478
22 0.119358
23 0.117507
24 -0.045411
25 -0.190042
26 -0.192078
27 -0.19385
28 -0.195646
29 -0.197468
30 -0.035871
31 -0.201407
32 -0.203629
33 -0.205564
34 -0.207526
35 -0.202839
36 -0.211535
37 -0.216545
38 -0.215313
39 -0.213505
40 -0.219193
41 -0.224417
42 -0.057396
43 -0.22873
44 -0.230633
45 -0.222515
46 -0.234903
47 -0.229771
48 -0.239294
49 -0.233688
50 -0.242978
51 -0.237707
52 -0.239344
53 -0.249311
54 -0.07976
55 -0.25358
56 -0.247643
57 -0.253041
58 -0.251585
59 -0.265436
60 -0.255622
61 -0.261224
62 -0.259757
63 -0.264988
64 -0.266901
65 -0.268835
66 -0.088606
67 -0.273092
68 -0.275093
69 -0.277117
70 -0.279163
71 -0.280713
72 -0.282799
73 -0.275076
74 -0.289938
75 -0.288657
76 -0.290286
77 -0.295421
78 -0.111729
79 -0.289919
80 -0.301368
81 -0.299683
82 -0.304836
83 -0.296628
84 -0.308364
85 -0.30007
86 -0.311351
87 -0.313164
88 -0.304754
89 -0.316221
90 -0.101854
91 -0.319832
92 -0.313994
93 -0.322988
94 -0.313656
95 -0.32963
96 -0.316771
97 -0.321512
98 -0.333574
99 -0.320571
100 -0.325373
101 -0.326023
102 -0.145166
103 -0.329027
104 -0.330352
105 -0.331017
106 -0.343519
107 -0.333025
108 -0.334374
109 -0.338465
110 -0.335731
111 -0.336412
112 -0.340528
113 -0.141671
114 -0.342266
115 -0.340393
116 0.139137
117 0.135216
118 -0.345068
119 -0.342487
