clear
[H[2Jexport "LD_LIBRARY_PATH=$LD_LIBRARY_PATH:/usr/local/Aria/lib"; \
./bin/mecharia2
Connecting to simulator through tcp.

Syncing 0
Syncing 1
Syncing 2
Connected to robot.
Name: MobileSim
Type: Pioneer
Subtype: p3dx-sh
ArConfig: Config version: 2.0
Loaded robot parameters from /usr/local/Aria/params/p3dx-sh.p
ArRobotConnector: Connected to simulator, not connecting to additional hardware components.
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
range: 484.934016 angle: -81.819770
